abnormal_reason_code	abnormal_reason_description	abnormal_reason_type	abnormal_reason_trigger_reason	abnormal_reason_suggest
6409	409 请求和当前资源状态冲突	WSP/HTTP/彩信发送响应错误	1、通常和Put请求有关，由于请求和资源当前状态相冲突，因此请求不能成功。	1、SP服务器问题
6410	410 请求的资源已不可用	WSP/HTTP/彩信发送响应错误	1、主要用于Web维护任务，通过指示接收者，源资源不可用。	1、SP服务器问题
6411	411 服务器需客户端发送content-length	WSP/HTTP/彩信发送响应错误	1、服务器不能处理请求，除非客户发送一个Content-Length头。	1、SP服务器问题
6412	412 预处理失败	WSP/HTTP/彩信发送响应错误	1、Web Server对提交到服务器的请求进行过滤，对不满足预先定义条件要求的请求全部响应412 Precondition failed状态码。	1、SP服务器问题
6413	413 请求实体太大	WSP/HTTP/彩信发送响应错误	1、服务器拒绝处理请求，因为请求实体长于服务器能够处理的长度。	1、SP服务器问题
6414	414 请求的URI过长	WSP/HTTP/彩信发送响应错误	1、终端请求的URI太长。	1、SP服务器问题
6415	415 不被支持的媒体类型	WSP/HTTP/彩信发送响应错误	1、服务器拒绝服务当前请求因为请求数据格式并不被请求的资源支持。	1、SP服务器问题
6416	416 请求范围不满足	WSP/HTTP/彩信发送响应错误	1、服务器不能满足客户在请求中指定的Range头。	1、SP服务器问题
6417	417 执行失败	WSP/HTTP/彩信发送响应错误	1、服务器执行失败。	1、SP服务器问题
6500	500 服务器内部错误	WSP/HTTP/彩信发送响应错误	1、服务器碰到了意外情况，使其无法继续回应请求。	1、SP服务器问题
6501	501 服务器不支持实现请求的功能	WSP/HTTP/彩信发送响应错误	1、服务器无法提供对请求中所要求功能的支持。	1、SP服务器问题
6502	502 服务器返回非法应答	WSP/HTTP/彩信发送响应错误	1、充当网关或代理的服务器从要发送请求的上游（upstream）服务器收到非法的回应。	1、SP服务器问题
6503	503 服务不可用	WSP/HTTP/彩信发送响应错误	1、服务器当前无法处理请求。	1、SP服务器问题
6504	504 网关超时	WSP/HTTP/彩信发送响应错误	1、由作为代理或网关的服务器使用，表示不能及时从远程服务器获得应答。	1、SP服务器问题
6505	505 WSP版本不支持	WSP/HTTP/彩信发送响应错误	1、服务器不支持。	1、SP服务器问题
6509	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
6901	彩信发送网络无响应	网络无响应	1、终端侧未收到任何网络响应消息	1、检查故障分布规律，是否集中分布在某段时间或某个网元
6902	彩信发送过程掉线：用户原因	异常连接断开/掉线	1、彩信发送未完成，用户由于某种原因离线	1、属于用户原因
6903	彩信发送过程掉线：网络原因	异常连接断开/掉线	1、彩信发送未完成，网络由于某种原因掉线	1、检查故障前后信令流程
6905	上行TCP连接重置	TCP连接重置：用户原因	1、用户侧发起TCP Reset	未定义
6906	下行TCP连接重置	TCP连接重置：服务提供商原因	1、网络侧发起TCP Reset	未定义
7000	未知错误(0x00)	WTP异常中止：服务提供商原因	 	 
7001	协议错误(0x01)	WTP异常中止：服务提供商原因	 	 
7002	TID无效(0x02)	WTP异常中止：服务提供商原因	 	 
7003	Class 2不支持(0x03)	WTP异常中止：服务提供商原因	 	 
7004	SAR不支持(0x04)	WTP异常中止：服务提供商原因	 	 
7005	用户确认不支持(0x05)	WTP异常中止：服务提供商原因	 	 
7006	不支持WTP版本1(0x06)	WTP异常中止：服务提供商原因	 	 
7007	临时容量溢出(0x07)	WTP异常中止：服务提供商原因	 	 
7008	无响应(0x08)	WTP异常中止：服务提供商原因	 	 
7009	消息过长(0x09)	WTP异常中止：服务提供商原因	 	 
7224	协议错误，非法PDU接收(0xE0)	WTP异常中止：用户原因	 	 
7225	会话断开(0xE1)	WTP异常中止：用户原因	 	 
7226	会话挂起(0xE2)	WTP异常中止：用户原因	 	 
7227	会话被恢复(0xE3)	WTP异常中止：用户原因	 	 
7228	用户忙，不能处理SDU(0xE4)	WTP异常中止：用户原因	 	 
7229	会话连接失败(0xE5)	WTP异常中止：用户原因	 	 
7230	最大接收单元溢出(0xE6)	WTP异常中止：用户原因	 	 
7231	最大请求次数溢出(0xE7)	WTP异常中止：用户原因	 	 
7232	用户请求放弃(0xE8)	WTP异常中止：用户原因	 	 
7233	网络错误(0xE9)	WTP异常中止：用户原因	 	 
7234	用户请求放弃(0xEA)	WTP异常中止：用户原因	 	 
7235	用户拒绝Push消息，无特别原因。(0xEB)	WTP异常中止：用户原因	 	 
7236	Push消息不能传送到指定目的(0xEC)	WTP异常中止：用户原因	 	 
7237	Push消息由于资源短缺而放弃(0xED)	WTP异常中止：用户原因	 	 
7238	Push消息终端内容类型不能处理(0xEE)	WTP异常中止：用户原因	 	 
7400	400 请求出现语法错误	WSP/HTTP/彩信接收响应错误	1、请求需要用户授权。	1、SP服务器问题
7401	401 访问被拒绝	WSP/HTTP/彩信接收响应错误	1、保留的状态码，具体原因未定义	1、SP服务器问题
7402	402 必需支付方能访问	WSP/HTTP/彩信接收响应错误	1、服务器理解请求，但是拒绝实现该请求。	1、SP服务器问题
7403	403 资源不可用	WSP/HTTP/彩信接收响应错误	1、服务器没有找到与请求URI相符的资源。404状态码并不指明状况是临时性的还是永久性的。如果服务器不希望为客户端提供这方面的信息，还回应403（禁止）状态码。	1、SP服务器问题
7404	404 无法找到指定位置的资源	WSP/HTTP/彩信接收响应错误	1、请求的方法（Get/Post/Head/Delete/Put/Trace）对请求的资源不适用。	1、SP服务器问题
7405	405 请求方法对指定资源不适用	WSP/HTTP/彩信接收响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
7406	406 客户端浏览器对资源不兼容	WSP/HTTP/彩信接收响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
7407	407 代理服务器认证所必需	WSP/HTTP/彩信接收响应错误	1、客户必须先通过代理服务器授权。	1、SP服务器问题
7408	408 请求超时	WSP/HTTP/彩信接收响应错误	1、请求超时无响应。	1、SP服务器问题
7409	409 请求和当前资源状态冲突	WSP/HTTP/彩信接收响应错误	1、通常和Put请求有关，由于请求和资源当前状态相冲突，因此请求不能成功。	1、SP服务器问题
7410	410 请求的资源已不可用	WSP/HTTP/彩信接收响应错误	1、主要用于Web维护任务，通过指示接收者，源资源不可用。	1、SP服务器问题
7411	411 服务器需客户端发送content-length	WSP/HTTP/彩信接收响应错误	1、服务器不能处理请求，除非客户发送一个Content-Length头。	1、SP服务器问题
7412	412 预处理失败	WSP/HTTP/彩信接收响应错误	1、Web Server对提交到服务器的请求进行过滤，对不满足预先定义条件要求的请求全部响应412 Precondition failed状态码。	1、SP服务器问题
7413	413 请求实体太大	WSP/HTTP/彩信接收响应错误	1、服务器拒绝处理请求，因为请求实体长于服务器能够处理的长度。	1、SP服务器问题
7414	414 请求的URI过长	WSP/HTTP/彩信接收响应错误	1、终端请求的URI太长。	1、SP服务器问题
7415	415 不被支持的媒体类型	WSP/HTTP/彩信接收响应错误	1、服务器拒绝服务当前请求因为请求数据格式并不被请求的资源支持。	1、SP服务器问题
7416	416 请求范围不满足	WSP/HTTP/彩信接收响应错误	1、服务器不能满足客户在请求中指定的Range头。	1、SP服务器问题
7417	417 执行失败	WSP/HTTP/彩信接收响应错误	1、服务器执行失败。	1、SP服务器问题
7500	500 服务器内部错误	WSP/HTTP/彩信接收响应错误	1、服务器碰到了意外情况，使其无法继续回应请求。	1、SP服务器问题
7501	501 服务器不支持实现请求的功能	WSP/HTTP/彩信接收响应错误	1、服务器无法提供对请求中所要求功能的支持。	1、SP服务器问题
7502	502 服务器返回非法应答	WSP/HTTP/彩信接收响应错误	1、充当网关或代理的服务器从要发送请求的上游（upstream）服务器收到非法的回应。	1、SP服务器问题
7503	503 服务不可用	WSP/HTTP/彩信接收响应错误	1、服务器当前无法处理请求。	1、SP服务器问题
7504	504 网关超时	WSP/HTTP/彩信接收响应错误	1、由作为代理或网关的服务器使用，表示不能及时从远程服务器获得应答。	1、SP服务器问题
7505	505 WSP版本不支持	WSP/HTTP/彩信接收响应错误	1、服务器不支持。	1、SP服务器问题
7901	彩信接收网络无响应	网络无响应	1、终端侧未收到任何网络响应消息	1、检查故障分布规律，是否集中分布在某段时间或某个网元
7902	彩信接收过程掉线：用户原因	异常连接断开/掉线	1、彩信接收未完成，用户由于某种原因离线	1、属于用户原因
7903	彩信接收过程掉线：网络原因	异常连接断开/掉线	1、彩信接收未完成，网络由于某种原因掉线	1、检查故障前后信令流程
7904	彩信接收终端异常	彩信接收异常	未定义	未定义
7905	上行TCP连接重置	TCP连接重置：用户原因	1、用户侧发起TCP Reset	未定义
7906	下行TCP连接重置	TCP连接重置：服务提供商原因	1、网络侧发起TCP Reset	未定义
8000	未知错误(0x00)	WTP异常中止：服务提供商原因	1、未知错误	1、请检查错误前后信令流程
8001	协议错误(0x01)	WTP异常中止：服务提供商原因	1、协议错误	未定义
8002	TID无效(0x02)	WTP异常中止：服务提供商原因	1、与WAP的一个Session还未结束的情况下，又发起一个Session。	未定义
8003	Class 2不支持(0x03)	WTP异常中止：服务提供商原因	1、Class 2不支持	未定义
8004	SAR不支持(0x04)	WTP异常中止：服务提供商原因	1、SAR不支持	未定义
8005	用户确认不支持(0x05)	WTP异常中止：服务提供商原因	1、用户确认不支持	未定义
8006	不支持WTP版本1(0x06)	WTP异常中止：服务提供商原因	1、如果请求的语法不对，服务器将无法理解。	未定义
8007	临时容量溢出(0x07)	WTP异常中止：服务提供商原因	1、临时容量溢出	未定义
8008	无响应(0x08)	WTP异常中止：服务提供商原因	1、无响应	未定义
8009	消息过长(0x09)	WTP异常中止：服务提供商原因	1、消息过长	未定义
8224	协议错误，非法PDU接收(0xE0)	WTP异常中止：用户原因	1、一般是由于某些品牌的终端对数据包乱序整合的能力较差引起。服务器已经完整的响应了用户请求，但是终端却认为丢包，手机终端存在Bug不能正常处理此包而导致错误发生	1、可能是终端问题导致；
8225	会话断开(0xE1)	WTP异常中止：用户原因	1、用户行为以及终端性能造成的Abort。	1、用户或者终端问题引起
8226	会话挂起(0xE2)	WTP异常中止：用户原因	B类手机CS业务优先，在请求过程中，发起CS业务，切换至CS业务，会话被挂起。	1、正常事件通知
8227	会话被恢复(0xE3)	WTP异常中止：用户原因	1、B类手机CS业务优先，在请求过程中，发起CS业务，切换至CS业务，会话被挂起，CS业务结束后，会话被恢复。	1、正常事件通知
8228	用户忙，不能处理SDU(0xE4)	WTP异常中止：用户原因	1、用户忙，不能处理SDU	1、用户或者终端问题引起
8229	会话连接失败(0xE5)	WTP异常中止：用户原因	1、会话连接失败。	1、用户或者终端问题引起
8230	最大接收单元溢出(0xE6)	WTP异常中止：用户原因	1、Reply/Response未处理次数超出设定的最大值，手机处理能力有限，当超出最大值是，发起Abort消息。	1、用户或者终端问题引起
8231	最大请求次数溢出(0xE7)	WTP异常中止：用户原因	1、这种情况一般是由于用户发起请求频繁，而网络对用户同时发起的请求处理能力是有限的，当超出最大值时，发起该Abort消息。	1、用户或者终端问题引起
8232	用户请求放弃(0xE8)	WTP异常中止：用户原因	1、有可能用户快速浏览，在页面完全打开前已经开始下一个链接；也有可能用户在浏览的过程中已看到相关的内容，不想再看，而请求的主动断开连接。但需注意，也有可能是用户等待时间太长，用户不愿意继续等待而主动放弃。	1、用户或者终端问题引起
8233	网络错误(0xE9)	WTP异常中止：用户原因	1、网络错误。	1、用户或者终端问题引起
8234	用户请求放弃(0xEA)	WTP异常中止：用户原因	1、有可能用户快速浏览，在页面完全打开前已经开始下一个链接；也有可能用户在浏览的过程中已看到相关的内容，不想再看，而请求的主动断开连接。但需注意，也有可能是用户等待时间太长，用户不愿意继续等待而主动放弃。	1、用户或者终端问题引起
8235	用户拒绝Push消息，无特别原因。(0xEB)	WTP异常中止：用户原因	1、用户拒绝Push消息，无特别原因。	1、用户或者终端问题引起
8236	Push消息不能传送到指定目的(0xEC)	WTP异常中止：用户原因	1、Push消息不能传送到指定目的	1、用户或者终端问题引起
8237	Push消息由于资源短缺而放弃(0xED)	WTP异常中止：用户原因	1、Push消息由于资源短缺而放弃	1、用户或者终端问题引起
8238	Push消息终端内容类型不能处理(0xEE)	WTP异常中止：用户原因	1、Push消息终端内容类型不能处理	1、用户或者终端问题引起
8901	WSP/HTTP网关连接无响应	网络无响应	1、终端侧未收到任何网络响应消息	1、检查故障分布规律，是否集中分布在某段时间或某个网关
8902	WSP网关连接断开	异常连接断开/掉线	1、网络长时间无响应，用户断开连接；2、用户由于其它原因断开连接。	1、检查故障前后信令流程
9901	WSP/HTTP网关连接无响应	网络无响应	1、终端侧未收到任何网络响应消息	1、检查故障分析规律，是否集中分布在某段时间或某个网关
9905	上行TCP连接重置	TCP连接重置：用户原因	1、用户侧发起TCP Reset	未定义
9906	下行TCP连接重置	TCP连接重置：服务提供商原因	1、网络侧发起TCP Reset	未定义
10901	会话过程掉线：用户原因	异常连接断开/掉线	未定义	未定义
10905	TCP连接重置：用户原因	TCP连接重置：用户原因	未定义	未定义
10906	TCP连接重置：服务提供商原因	TCP连接重置：服务提供商原因	未定义	未定义
11901	会话过程掉线：用户原因	异常连接断开/掉线	未定义	未定义
11905	TCP连接重置：用户原因	TCP连接重置：用户原因	未定义	未定义
11906	TCP连接重置：服务提供商原因	TCP连接重置：服务提供商原因	未定义	未定义
12001	请求格式错误(001)	DNS错误	1、DNS请求的格式不正确，域名服务器不能正确解析待查询的域名	1、如果是内网DNS错误，请检查DNS局配置，是否存在错配或漏配情况
12002	服务器失败(002)	DNS错误	1、DNS服务器故障，无法提供DNS域名解析服务	1、检查相应DNS服务器问题
12003	域名不存在(003)	DNS错误	1、终端申请查询的域名无法找到	1、检查终端发起申请的DNS域名是否合理，如果合理则需核查DNS局数据是否存在错配或者漏配情况
12004	相关功能未实现(004)	DNS错误	1、DNS解析未执行，DNS服务器不支持请求的查询类型	未定义
12005	DNS请求被拒绝(005)	DNS错误	1、DNS解析拒绝，因DNS服务器的策略限制，DNS服务器拒绝请求消息中指定的操作	未定义
12006	域名存在(006)	DNS错误	未定义	未定义
12007	RRset存在(007)	DNS错误	未定义	未定义
12008	Rrset不存在(008)	DNS错误	未定义	未定义
12009	无法从主服务器得到数据（009）	DNS错误	未定义	未定义
12901	DNS查询网络无响应	网络无响应	1、终端侧未收到任何网络响应消息	1、检查故障分布规律，是否集中分布在某段时间或某个SP
13901	Ping网络无响应	网络无响应	1、终端侧未收到任何网络响应消息	1、检查故障分析规律，是否集中分布在某段时间或某个网关
14901	会话过程掉线：用户原因	异常连接断开/掉线	未定义	未定义
14905	TCP连接重置：用户原因	TCP连接重置：用户原因	未定义	未定义
14906	TCP连接重置：服务提供商原因	TCP连接重置：服务提供商原因	未定义	未定义
